german,article,plural,english,vietnamese,example,note
Zoll,der,die Zölle,customs,hải quan,Der Zoll kontrolliert das Gepäck.,08_travel
Rundreise,die,die Rundreisen,round trip,chuyến đi vòng quanh,Die Rundreise dauert zwei Wochen.,08_travel
Souvenir,das,die Souvenirs,souvenir,quà lưu niệm,Ich kaufe ein Souvenir.,08_travel
fahren,,,to drive / go,lái xe / đi,Ich fahre nach Berlin.,08_travel
fliegen,,,to fly,bay,Wir fliegen nach Deutschland.,08_travel
abfahren,,,to depart,khởi hành,Der Zug fährt um acht ab.,08_travel
ankommen,,,to arrive,đến nơi,Der Bus kommt pünktlich an.,08_travel
reisen,,,to travel,du lịch,Ich reise gern.,08_travel
buchen,,,to book,đặt chỗ,Ich buche ein Hotel.,08_travel
umsteigen,,,to change trains,chuyển tàu,Ich steige in München um.,08_travel
packen,,,to pack,đóng gói,Ich packe meinen Koffer.,08_travel
übernachten,,,to stay overnight,ngủ qua đêm,Wir übernachten im Hotel.,08_travel
verpassen,,,to miss (transport),lỡ,Ich verpasse den Zug.,08_travel
verspätet,,,delayed,bị trễ,Der Flug ist verspätet.,08_travel
direkt,,,direct,trực tiếp,Der Zug fährt direkt.,08_travel
Rathaus,das,die Rathäuser,city hall,tòa thị chính,Das Rathaus liegt in der Mitte.,09_city
Kirche,die,die Kirchen,church,nhà thờ,Die Kirche ist alt.,09_city
Museum,das,die Museen,museum,bảo tàng,Das Museum ist interessant.,09_city
Park,der,die Parks,park,công viên,Der Park ist grün.,09_city
Platz,der,die Plätze,square,quảng trường,Der Platz ist voll.,09_city
Brücke,die,die Brücken,bridge,cây cầu,Die Brücke ist lang.,09_city
Bank,die,die Banken,bank,ngân hàng,Die Bank ist geschlossen.,09_city
Post,die,kein Plural,post office,bưu điện,Die Post ist um die Ecke.,09_city
Briefmarke,die,die Briefmarken,stamp,tem thư,Ich kaufe eine Briefmarke.,09_city
Brief,der,die Briefe,letter,lá thư,Ich schreibe einen Brief.,09_city
Paket,das,die Pakete,package,bưu kiện,Ich schicke ein Paket.,09_city
Polizei,die,kein Plural,police,cảnh sát,Die Polizei hilft uns.,09_city
Kino,das,die Kinos,cinema,rạp chiếu phim,Das Kino ist neu.,09_city
Theater,das,die Theater,theater,nhà hát,Das Theater ist berühmt.,09_city
Bibliothek,die,die Bibliotheken,library,thư viện,Die Bibliothek ist ruhig.,09_city
Schule,die,die Schulen,school,trường học,Die Schule beginnt um acht.,09_city
Kreuzung,die,die Kreuzungen,intersection,ngã tư,Die Kreuzung ist gefährlich.,09_city
Ecke,die,die Ecken,corner,góc phố,Der Laden ist an der Ecke.,09_city
Ampel,die,die Ampeln,traffic light,đèn giao thông,Die Ampel ist rot.,09_city
Richtung,die,die Richtungen,direction,hướng,Gehen Sie in diese Richtung.,09_city
Stadtplan,der,die Stadtpläne,city map,bản đồ thành phố,Der Stadtplan zeigt die Straßen.,09_city
Eingang,der,die Eingänge,entrance,lối vào,Der Eingang ist hier.,09_city
Ausgang,der,die Ausgänge,exit,lối ra,Der Ausgang ist dort.,09_city
Gebäude,das,die Gebäude,building,tòa nhà,Das Gebäude ist hoch.,09_city
Markt,der,die Märkte,market,chợ,Der Markt ist voll.,09_city
Zentrum,das,die Zentren,center,trung tâm,Das Zentrum ist lebhaft.,09_city
Vorort,der,die Vororte,suburb,ngoại ô,Wir wohnen im Vorort.,09_city
Kasse,die,die Kassen,cashier / counter,quầy thu ngân,Die Kasse ist geöffnet.,09_city
Konto,das,die Konten,bank account,tài khoản ngân hàng,Ich habe ein Konto.,09_city
Geld,das,kein Plural,money,tiền,Ich habe kein Geld.,09_city
Geldautomat,der,die Geldautomaten,ATM,máy rút tiền,Der Geldautomat ist kaputt.,09_city
Weg,der,die Wege,way / path,con đường,Der Weg ist kurz.,09_city
Fußgänger,der,die Fußgänger,pedestrian,người đi bộ,Der Fußgänger wartet an der Ampel.,09_city
gehen,,,to go / walk,đi bộ,Ich gehe zu Fuß.,09_city
laufen,,,to walk / run,chạy bộ,Ich laufe zum Park.,09_city
abbiegen,,,to turn,rẽ,Biegen Sie rechts ab.,09_city
überqueren,,,to cross,băng qua,Ich überquere die Straße.,09_city
zeigen,,,to show,chỉ,Können Sie mir den Weg zeigen?,09_city
finden,,,to find,tìm thấy,Ich finde die Bank nicht.,09_city
links,,,left (direction),bên trái,Gehen Sie nach links.,09_city
rechts,,,right (direction),bên phải,Gehen Sie nach rechts.,09_city
geradeaus,,,straight ahead,đi thẳng,Gehen Sie geradeaus.,09_city
nah,,,near,gần,Die Bank ist nah.,09_city
weit,,,far,xa,Der Bahnhof ist weit.,09_city
zwischen,,,between,giữa,Die Bank ist zwischen der Post und dem Park.,09_city
duschen,,,to shower,tắm vòi sen,Ich dusche jeden Morgen.,10_routine
waschen,,,to wash,giặt / rửa,Ich wasche die Wäsche.,10_routine
anziehen,,,to put on (clothes),mặc quần áo,Ich ziehe mich an.,10_routine
ausziehen,,,to take off (clothes),cởi quần áo,Ich ziehe die Jacke aus.,10_routine
frühstücken,,,to have breakfast,ăn sáng,Ich frühstücke um sieben.,10_routine
abwaschen,,,to wash dishes,rửa bát,Ich wasche das Geschirr ab.,10_routine
staubsaugen,,,to vacuum,hút bụi,Ich staubsauge das Wohnzimmer.,10_routine
aufräumen,,,to tidy up,dọn dẹp,Ich räume mein Zimmer auf.,10_routine
bügeln,,,to iron,ủi đồ,Ich bügle die Hemden.,10_routine
einkaufen,,,to shop,đi mua sắm,Ich kaufe im Supermarkt ein.,10_routine
füttern,,,to feed,cho ăn,Ich füttere die Katze.,10_routine
gießen,,,to water (plants),tưới cây,Ich gieße die Blumen.,10_routine
beeilen,,,to hurry,vội vàng,Ich beeile mich.,10_routine
vereinbaren,,,to arrange,sắp xếp,Ich vereinbare einen Termin.,10_routine
absagen,,,to cancel,hủy bỏ,Ich sage den Termin ab.,10_routine
verschieben,,,to postpone,hoãn lại,Wir verschieben das Treffen.,10_routine
erledigen,,,to take care of,giải quyết,Ich erledige die Aufgaben.,10_routine
ausruhen,,,to rest,nghỉ ngơi,Ich ruhe mich aus.,10_routine
spazieren,,,to stroll,đi dạo,Ich gehe spazieren.,10_routine
joggen,,,to jog,chạy bộ,Ich jogge jeden Morgen.,10_routine
abtrocknen,,,to dry (dishes),lau khô,Ich trockne das Geschirr ab.,10_routine
wecken,,,to wake (someone),đánh thức,Der Wecker weckt mich.,10_routine
aufwachen,,,to wake up,thức giấc,Ich wache um sechs Uhr auf.,10_routine
Wecker,der,die Wecker,alarm clock,đồng hồ báo thức,Der Wecker klingelt um sechs.,10_routine
Morgen,der,die Morgen,morning,buổi sáng,Der Morgen ist kalt.,10_routine
Abend,der,die Abende,evening,buổi tối,Der Abend ist ruhig.,10_routine
Mittag,der,die Mittage,noon,buổi trưa,Der Mittag ist heiß.,10_routine
Nacht,die,die Nächte,night,ban đêm,Die Nacht ist lang.,10_routine
Wäsche,die,kein Plural,laundry,đồ giặt,Die Wäsche ist nass.,10_routine
Staubsauger,der,die Staubsauger,vacuum cleaner,máy hút bụi,Der Staubsauger ist laut.,10_routine
Bügeleisen,das,die Bügeleisen,iron (appliance),bàn ủi,Das Bügeleisen ist heiß.,10_routine
Geschirr,das,kein Plural,dishes,chén bát,Das Geschirr ist schmutzig.,10_routine
Müll,der,kein Plural,garbage,rác,Ich bringe den Müll raus.,10_routine
Verabredung,die,die Verabredungen,appointment,cuộc hẹn,Ich habe eine Verabredung um vier.,10_routine
Kalender,der,die Kalender,calendar,lịch,Ich schaue in den Kalender.,10_routine
Alltag,der,kein Plural,everyday life,cuộc sống hàng ngày,Mein Alltag ist stressig.,10_routine
Gewohnheit,die,die Gewohnheiten,habit,thói quen,Das ist meine Gewohnheit.,10_routine
Routine,die,die Routinen,routine,thói quen hàng ngày,Meine Routine ist einfach.,10_routine
Feierabend,der,kein Plural,end of workday,giờ tan tầm,Ich habe endlich Feierabend.,10_routine
früh,,,early,sớm,Ich stehe früh auf.,10_routine
spät,,,late,muộn,Ich komme spät nach Hause.,10_routine
fertig,,,ready / done,xong,Ich bin fertig.,10_routine
regelmäßig,,,regularly,đều đặn,Ich dusche regelmäßig.,10_routine
täglich,,,daily,hằng ngày,Ich putze täglich.,10_routine
sofort,,,immediately,ngay lập tức,Ich erledige das sofort.,10_routine
zuerst,,,first (order),trước tiên,Zuerst dusche ich.,10_routine
Kleidung,die,kein Plural,clothing,quần áo,Die Kleidung ist neu.,11_clothes
Hemd,das,die Hemden,shirt,áo sơ mi,Das Hemd ist weiß.,11_clothes
Hose,die,die Hosen,trousers,quần dài,Die Hose ist schwarz.,11_clothes
Rock,der,die Röcke,skirt,chân váy,Der Rock ist kurz.,11_clothes
Kleid,das,die Kleider,dress,váy đầm,Das Kleid ist schön.,11_clothes
Jacke,die,die Jacken,jacket,áo khoác,Die Jacke ist warm.,11_clothes
Mantel,der,die Mäntel,coat,áo choàng,Der Mantel ist lang.,11_clothes
Pullover,der,die Pullover,sweater,áo len,Der Pullover ist bequem.,11_clothes
T-Shirt,das,die T-Shirts,T-shirt,áo phông,Das T-Shirt ist blau.,11_clothes
Schuh,der,die Schuhe,shoe,giày,Der Schuh ist neu.,11_clothes
Stiefel,der,die Stiefel,boot,giày bốt,Der Stiefel ist warm.,11_clothes
Socke,die,die Socken,sock,tất,Die Socke ist weiß.,11_clothes
Mütze,die,die Mützen,cap,mũ len,Die Mütze ist warm.,11_clothes
Hut,der,die Hüte,hat,mũ,Der Hut ist groß.,11_clothes
Schal,der,die Schals,scarf,khăn quàng cổ,Der Schal ist weich.,11_clothes
Handschuh,der,die Handschuhe,glove,găng tay,Die Handschuhe sind warm.,11_clothes
Gürtel,der,die Gürtel,belt,thắt lưng,Der Gürtel ist braun.,11_clothes
Tasche,die,die Taschen,bag,túi xách,Die Tasche ist teuer.,11_clothes
Anzug,der,die Anzüge,suit,bộ vest,Der Anzug ist elegant.,11_clothes
Krawatte,die,die Krawatten,tie,cà vạt,Die Krawatte ist rot.,11_clothes
Unterwäsche,die,kein Plural,underwear,đồ lót,Die Unterwäsche ist bequem.,11_clothes
Bluse,die,die Blusen,blouse,áo cánh,Die Bluse ist elegant.,11_clothes
Größe,die,die Größen,size,kích cỡ,Welche Größe brauchen Sie?,11_clothes
Farbe,die,die Farben,color,màu sắc,Welche Farbe magst du?,11_clothes
Umkleidekabine,die,die Umkleidekabinen,fitting room,phòng thử đồ,Die Umkleidekabine ist frei.,11_clothes
rot,,,red,đỏ,Die Krawatte ist rot.,11_clothes
blau,,,blue,xanh dương,Das T-Shirt ist blau.,11_clothes
gelb,,,yellow,vàng,Das Kleid ist gelb.,11_clothes
grün,,,green,xanh lá,Die Jacke ist grün.,11_clothes
schwarz,,,black,đen,Die Hose ist schwarz.,11_clothes
weiß,,,white,trắng,Das Hemd ist weiß.,11_clothes
braun,,,brown,nâu,Der Gürtel ist braun.,11_clothes
grau,,,gray,xám,Der Mantel ist grau.,11_clothes
rosa,,,pink,hồng,Die Bluse ist rosa.,11_clothes
lila,,,purple,tím,Der Schal ist lila.,11_clothes
orange,,,orange,cam,Die Mütze ist orange.,11_clothes
tragen,,,to wear,mặc,Ich trage ein T-Shirt.,11_clothes
anprobieren,,,to try on,thử đồ,Ich probiere die Hose an.,11_clothes
passen,,,to fit,vừa vặn,Die Hose passt gut.,11_clothes
umtauschen,,,to exchange,đổi hàng,Ich tausche das Hemd um.,11_clothes
eng,,,tight,chật,Die Hose ist eng.,11_clothes
kurz,,,short,ngắn,Der Rock ist kurz.,11_clothes
lang,,,long,dài,Der Mantel ist lang.,11_clothes
bequem,,,comfortable,thoải mái,Der Pullover ist bequem.,11_clothes
elegant,,,elegant,sang trọng,Der Anzug ist elegant.,11_clothes
Wetter,das,kein Plural,weather,thời tiết,Das Wetter ist schön.,12_weather
Sonne,die,kein Plural,sun,mặt trời,Die Sonne scheint.,12_weather
Regen,der,kein Plural,rain,mưa,Der Regen fällt stark.,12_weather
Schnee,der,kein Plural,snow,tuyết,Der Schnee ist weiß.,12_weather
Wind,der,die Winde,wind,gió,Der Wind ist stark.,12_weather
Wolke,die,die Wolken,cloud,đám mây,Die Wolke ist grau.,12_weather
Himmel,der,kein Plural,sky,bầu trời,Der Himmel ist blau.,12_weather
Nebel,der,kein Plural,fog,sương mù,Der Nebel ist dicht.,12_weather
Gewitter,das,die Gewitter,thunderstorm,giông bão,Das Gewitter ist laut.,12_weather
Blitz,der,die Blitze,lightning,tia chớp,Der Blitz ist hell.,12_weather
Donner,der,kein Plural,thunder,sấm,Der Donner ist laut.,12_weather
Temperatur,die,die Temperaturen,temperature,nhiệt độ,Die Temperatur steigt.,12_weather
Grad,der,die Grad,degree,độ,Es sind zwanzig Grad.,12_weather
Regenschirm,der,die Regenschirme,umbrella,ô dù,Ich brauche einen Regenschirm.,12_weather
Hitze,die,kein Plural,heat,cái nóng,Die Hitze ist unerträglich.,12_weather
Kälte,die,kein Plural,cold (temperature),cái lạnh,Die Kälte ist stark.,12_weather
Jahreszeit,die,die Jahreszeiten,season,mùa,Das Jahr hat vier Jahreszeiten.,12_weather
Vorhersage,die,die Vorhersagen,forecast,dự báo,Die Vorhersage ist gut.,12_weather
Regentropfen,der,die Regentropfen,raindrop,giọt mưa,Ein Regentropfen fällt ans Fenster.,12_weather
Sturm,der,die Stürme,storm,bão,Der Sturm ist gefährlich.,12_weather
Luft,die,kein Plural,air,không khí,Die Luft ist frisch.,12_weather
Klima,das,die Klimas,climate,khí hậu,Das Klima ist mild.,12_weather
Eis,das,kein Plural,ice,băng,Das Eis ist glatt.,12_weather
Regenmantel,der,die Regenmäntel,raincoat,áo mưa,Ich trage einen Regenmantel.,12_weather
Feuchtigkeit,die,kein Plural,humidity,độ ẩm,Die Feuchtigkeit ist hoch.,12_weather
regnen,,,to rain,mưa,Es regnet stark.,12_weather
schneien,,,to snow,có tuyết rơi,Es schneit im Winter.,12_weather
scheinen,,,to shine,chiếu sáng,Die Sonne scheint hell.,12_weather
wehen,,,to blow (wind),thổi,Der Wind weht stark.,12_weather
sonnig,,,sunny,nắng,Heute ist es sonnig.,12_weather
regnerisch,,,rainy,có mưa,Der Tag ist regnerisch.,12_weather
bewölkt,,,cloudy,nhiều mây,Der Himmel ist bewölkt.,12_weather
windig,,,windy,có gió,Es ist windig.,12_weather
neblig,,,foggy,sương mù,Der Morgen ist neblig.,12_weather
heiß,,,hot,nóng,Der Sommer ist heiß.,12_weather
kühl,,,cool,mát,Der Herbst ist kühl.,12_weather
trocken,,,dry,khô,Das Wetter ist trocken.,12_weather
feucht,,,humid,ẩm ướt,Die Luft ist feucht.,12_weather
frostig,,,frosty,giá lạnh,Der Morgen ist frostig.,12_weather
stürmisch,,,stormy,có bão,Das Meer ist stürmisch.,12_weather
mild,,,mild,ôn hòa,Das Klima ist mild.,12_weather
eisig,,,icy,băng giá,Der Winter ist eisig.,12_weather
wechselhaft,,,changeable,thất thường,Das Wetter ist wechselhaft.,12_weather
draußen,,,outside,ở ngoài trời,Draußen ist es kalt.,12_weather
drinnen,,,inside,ở trong nhà,Drinnen ist es warm.,12_weather
Hobby,das,die Hobbys,hobby,sở thích,Mein Hobby ist Lesen.,13_freetime
Sport,der,kein Plural,sport,thể thao,Ich mache gern Sport.,13_freetime
Fußball,der,kein Plural,football,bóng đá,Ich spiele gern Fußball.,13_freetime
Tennis,das,kein Plural,tennis,quần vợt,Ich spiele Tennis.,13_freetime
Musik,die,kein Plural,music,âm nhạc,Ich höre gern Musik.,13_freetime
Lied,das,die Lieder,song,bài hát,Das Lied ist schön.,13_freetime
Instrument,das,die Instrumente,instrument,nhạc cụ,Ich spiele ein Instrument.,13_freetime
Gitarre,die,die Gitarren,guitar,đàn ghi-ta,Ich spiele Gitarre.,13_freetime
Klavier,das,die Klaviere,piano,đàn piano,Sie spielt Klavier.,13_freetime
Film,der,die Filme,movie,bộ phim,Der Film ist spannend.,13_freetime
Fernseher,der,die Fernseher,television set,tivi,Der Fernseher ist neu.,13_freetime
Sendung,die,die Sendungen,TV program,chương trình,Die Sendung beginnt um acht.,13_freetime
Nachrichten,die,kein Plural,news,tin tức,Ich sehe die Nachrichten.,13_freetime
Konzert,das,die Konzerte,concert,buổi hòa nhạc,Das Konzert ist toll.,13_freetime
Party,die,die Partys,party,bữa tiệc,Die Party ist heute Abend.,13_freetime
Einladung,die,die Einladungen,invitation,lời mời,Ich bekomme eine Einladung.,13_freetime
Geschenk,das,die Geschenke,gift,quà tặng,Das Geschenk ist schön.,13_freetime
Freizeit,die,kein Plural,free time,thời gian rảnh,Meine Freizeit ist kurz.,13_freetime
Spiel,das,die Spiele,game,trò chơi,Das Spiel macht Spaß.,13_freetime
Mannschaft,die,die Mannschaften,team,đội,Die Mannschaft gewinnt.,13_freetime
Verein,der,die Vereine,club,câu lạc bộ,Ich bin im Verein.,13_freetime
Ausstellung,die,die Ausstellungen,exhibition,triển lãm,Die Ausstellung ist interessant.,13_freetime
Buch,das,die Bücher,book,quyển sách,Ich lese ein Buch.,13_freetime
Zeitung,die,die Zeitungen,newspaper,tờ báo,Ich lese die Zeitung.,13_freetime
Eintrittskarte,die,die Eintrittskarten,entrance ticket,vé vào cửa,Ich kaufe eine Eintrittskarte.,13_freetime
Ball,der,die Bälle,ball,quả bóng,Der Ball ist rund.,13_freetime
Freibad,das,die Freibäder,outdoor pool,hồ bơi ngoài trời,Das Freibad ist voll.,13_freetime
spielen,,,to play,chơi,Ich spiele Fußball.,13_freetime
singen,,,to sing,hát,Sie singt gern.,13_freetime
tanzen,,,to dance,nhảy múa,Wir tanzen zusammen.,13_freetime
malen,,,to paint,vẽ tranh,Ich male ein Bild.,13_freetime
zeichnen,,,to draw,vẽ,Er zeichnet gut.,13_freetime
fotografieren,,,to photograph,chụp ảnh,Ich fotografiere gern.,13_freetime
schwimmen,,,to swim,bơi,Ich schwimme im See.,13_freetime
wandern,,,to hike,đi bộ đường dài,Wir wandern am Wochenende.,13_freetime
Rad fahren,,,to cycle,đạp xe,Ich fahre gern Rad.,13_freetime
einladen,,,to invite,mời,Ich lade dich ein.,13_freetime
feiern,,,to celebrate,ăn mừng,Wir feiern die Party.,13_freetime
fernsehen,,,to watch TV,xem tivi,Ich sehe gern fern.,13_freetime
gewinnen,,,to win,chiến thắng,Unsere Mannschaft gewinnt.,13_freetime
verlieren,,,to lose,thua,Wir verlieren das Spiel.,13_freetime
interessant,,,interesting,thú vị,Der Film ist interessant.,13_freetime
spannend,,,exciting,hồi hộp,Das Buch ist spannend.,13_freetime
langweilig,,,boring,nhàm chán,Der Film ist langweilig.,13_freetime
beliebt,,,popular,được yêu thích,Der Sport ist beliebt.,13_freetime
gemeinsam,,,together / jointly,cùng nhau,Wir spielen gemeinsam.,13_freetime
Telefon,das,die Telefone,telephone,điện thoại,Das Telefon klingelt.,14_communication
Handy,das,die Handys,mobile phone,điện thoại di động,Mein Handy ist neu.,14_communication
E-Mail,die,die E-Mails,email,thư điện tử,Ich schreibe eine E-Mail.,14_communication
Internet,das,kein Plural,internet,mạng internet,Das Internet ist schnell.,14_communication
Nachricht,die,die Nachrichten,message,tin nhắn,Ich sende eine Nachricht.,14_communication
Website,die,die Websites,website,trang web,Die Website ist informativ.,14_communication
Passwort,das,die Passwörter,password,mật khẩu,Ich vergesse mein Passwort.,14_communication
Kontakt,der,die Kontakte,contact,liên hệ,Ich speichere den Kontakt.,14_communication
Anruf,der,die Anrufe,phone call,cuộc gọi,Ich bekomme einen Anruf.,14_communication
Vorwahl,die,die Vorwahlen,area code,mã vùng,Die Vorwahl ist null eins fünf.,14_communication
Anhang,der,die Anhänge,attachment,tệp đính kèm,Ich sende den Anhang.,14_communication
Formular,das,die Formulare,form,biểu mẫu,Ich fülle das Formular aus.,14_communication
Unterschrift,die,die Unterschriften,signature,chữ ký,Bitte setzen Sie Ihre Unterschrift.,14_communication
Kurs,der,die Kurse,course,khóa học,Der Kurs beginnt morgen.,14_communication
Unterricht,der,kein Plural,lessons,buổi học,Der Unterricht dauert zwei Stunden.,14_communication
Prüfung,die,die Prüfungen,exam,kỳ thi,Die Prüfung ist schwer.,14_communication
Zeugnis,das,die Zeugnisse,certificate,chứng chỉ,Das Zeugnis ist gut.,14_communication
Übung,die,die Übungen,exercise,bài tập,Die Übung ist einfach.,14_communication
Hausaufgabe,die,die Hausaufgaben,homework,bài tập về nhà,Ich mache die Hausaufgabe.,14_communication
Klasse,die,die Klassen,class,lớp học,Die Klasse ist groß.,14_communication
Lehrbuch,das,die Lehrbücher,textbook,sách giáo khoa,Das Lehrbuch ist neu.,14_communication
Stift,der,die Stifte,pen,cây bút,Der Stift ist blau.,14_communication
Heft,das,die Hefte,notebook,quyển vở,Das Heft ist voll.,14_communication
Umschlag,der,die Umschläge,envelope,phong bì,Der Umschlag ist leer.,14_communication
Absender,der,die Absender,sender,người gửi,Der Absender ist unbekannt.,14_communication
Empfänger,der,die Empfänger,recipient,người nhận,Der Empfänger bekommt den Brief.,14_communication
WLAN,das,kein Plural,WiFi,wifi,Das WLAN funktioniert nicht.,14_communication
Anrufbeantworter,der,die Anrufbeantworter,answering machine,hộp thư thoại,Der Anrufbeantworter ist voll.,14_communication
mailen,,,to email,gửi email,Ich maile dir die Datei.,14_communication
surfen,,,to surf (internet),lướt web,Ich surfe im Internet.,14_communication
herunterladen,,,to download,tải xuống,Ich lade die Datei herunter.,14_communication
hochladen,,,to upload,tải lên,Ich lade das Foto hoch.,14_communication
ausfüllen,,,to fill out,điền vào,Ich fülle das Formular aus.,14_communication
unterschreiben,,,to sign,ký tên,Bitte unterschreiben Sie hier.,14_communication
senden,,,to send,gửi,Ich sende die Nachricht.,14_communication
empfangen,,,to receive,nhận,Ich empfange die E-Mail.,14_communication
speichern,,,to save (data),lưu,Ich speichere die Datei.,14_communication
löschen,,,to delete,xóa,Ich lösche die Nachricht.,14_communication
klicken,,,to click,nhấp chuột,Ich klicke auf den Link.,14_communication
drucken,,,to print,in,Ich drucke das Formular.,14_communication
anmelden,,,to register / log in,đăng ký,Ich melde mich an.,14_communication
abmelden,,,to log off,đăng xuất,Ich melde mich ab.,14_communication
bestehen,,,to pass (exam),đậu,Ich bestehe die Prüfung.,14_communication
durchfallen,,,to fail (exam),trượt,Er fällt bei der Prüfung durch.,14_communication
online,,,online,trực tuyến,Ich bin online.,14_communication
