german,article,plural,english,vietnamese,example,note
ich bin fertig,,,I'm done,tôi xong rồi,Ich bin fertig.,t2_examphrases
ich habe sonst keine Fragen,,,I have no other questions,tôi không còn câu hỏi nào khác,Ich habe sonst keine Fragen.,t2_examphrases
das war alles,,,that was everything,đó là tất cả,Das war alles.,t2_examphrases
vielen Dank für Ihre Geduld,,,thank you for your patience,cảm ơn sự kiên nhẫn của ông bà,Vielen Dank für Ihre Geduld!,t2_examphrases
ich hoffe das war verständlich,,,I hope that was understandable,tôi hy vọng điều đó dễ hiểu,"Ich hoffe, das war verständlich.",t2_examphrases
haben Sie mich verstanden,,,did you understand me (formal),ông bà có hiểu tôi không,Haben Sie mich verstanden?,t2_examphrases
habe ich das richtig verstanden,,,did I understand that correctly,tôi hiểu đúng chứ,Habe ich das richtig verstanden?,t2_examphrases
ich wiederhole die Frage,,,I'll repeat the question,tôi sẽ nhắc lại câu hỏi,Ich wiederhole die Frage.,t2_examphrases
bitte sprechen Sie langsam,,,please speak slowly,xin hãy nói chậm,Bitte sprechen Sie langsam!,t2_examphrases
ich spreche nicht so gut Deutsch,,,I don't speak German so well,tôi nói tiếng Đức không giỏi lắm,Ich spreche nicht so gut Deutsch.,t2_examphrases
mein Deutsch ist noch nicht so gut,,,my German isn't very good yet,tiếng Đức của tôi vẫn chưa tốt lắm,Mein Deutsch ist noch nicht so gut.,t2_examphrases
ich übe noch,,,I'm still practicing,tôi vẫn đang luyện tập,Ich übe noch.,t2_examphrases
